calorieslevel,caloriesmets,time,calories
1,50,1481385600,5.802000045776367
1,42,1481385660,4.873680114746094
1,44,1481385720,5.105760097503662
1,42,1481385780,4.873680114746094
0,15,1481385840,1.7405999898910522
1,28,1481385900,3.249119997024536
0,10,1481385960,1.1604000329971311
0,11,1481386020,1.2764400243759155
1,26,1481386080,3.017040014266968
0,11,1481386140,1.2764400243759155
0,11,1481386200,1.2764400243759155
0,11,1481386260,1.2764400243759155
1,24,1481386320,2.7849600315093994
1,24,1481386380,2.7849600315093994
0,13,1481386440,1.508520007133484
0,13,1481386500,1.508520007133484
0,12,1481386560,1.3924800157546997
1,28,1481386620,3.249119997024536
0,13,1481386680,1.508520007133484
0,13,1481386740,1.508520007133484
0,13,1481386800,1.508520007133484
1,24,1481386860,2.7849600315093994
0,12,1481386920,1.3924800157546997
0,10,1481386980,1.1604000329971311
0,10,1481387040,1.1604000329971311
1,24,1481387100,2.7849600315093994
0,10,1481387160,1.1604000329971311
0,11,1481387220,1.2764400243759155
0,11,1481387280,1.2764400243759155
1,24,1481387340,2.7849600315093994
0,11,1481387400,1.2764400243759155
0,11,1481387460,1.2764400243759155
1,24,1481387520,2.7849600315093994
0,10,1481387580,1.1604000329971311
0,10,1481387640,1.1604000329971311
0,10,1481387700,1.1604000329971311
0,10,1481387760,1.1604000329971311
0,10,1481387820,1.1604000329971311
0,11,1481387880,1.2764400243759155
1,24,1481387940,2.7849600315093994
0,11,1481388000,1.2764400243759155
0,11,1481388060,1.2764400243759155
1,24,1481388120,2.7849600315093994
0,11,1481388180,1.2764400243759155
0,11,1481388240,1.2764400243759155
0,10,1481388300,1.1604000329971311
0,10,1481388360,1.1604000329971311
1,24,1481388420,2.7849600315093994
0,10,1481388480,1.1604000329971311
0,11,1481388540,1.2764400243759155
0,11,1481388600,1.2764400243759155
1,24,1481388660,2.7849600315093994
0,10,1481388720,1.1604000329971311
0,11,1481388780,1.2764400243759155
0,10,1481388840,1.1604000329971311
0,10,1481388900,1.1604000329971311
0,11,1481388960,1.2764400243759155
0,11,1481389020,1.2764400243759155
0,10,1481389080,1.1604000329971311
0,11,1481389140,1.2764400243759155
0,10,1481389200,1.1604000329971311
0,10,1481389260,1.1604000329971311
0,10,1481389320,1.1604000329971311
0,10,1481389380,1.1604000329971311
0,10,1481389440,1.1604000329971311
0,10,1481389500,1.1604000329971311
0,10,1481389560,1.1604000329971311
1,34,1481389620,3.945359945297241
1,72,1481389680,8.354880332946777
1,66,1481389740,7.658639907836914
1,64,1481389800,7.426559925079348
1,52,1481389860,6.034080028533936
1,52,1481389920,6.034080028533936
1,32,1481389980,3.713279962539673
0,13,1481390040,1.508520007133484
1,30,1481390100,3.4811999797821045
1,36,1481390160,4.177440166473389
1,26,1481390220,3.017040014266968
0,10,1481390280,1.1604000329971311
0,10,1481390340,1.1604000329971311
0,10,1481390400,1.1604000329971311
0,10,1481390460,1.1604000329971311
0,10,1481390520,1.1604000329971311
0,10,1481390580,1.1604000329971311
0,10,1481390640,1.1604000329971311
0,10,1481390700,1.1604000329971311
0,10,1481390760,1.1604000329971311
0,10,1481390820,1.1604000329971311
0,10,1481390880,1.1604000329971311
0,10,1481390940,1.1604000329971311
0,10,1481391000,1.1604000329971311
0,10,1481391060,1.1604000329971311
0,11,1481391120,1.2764400243759155
1,24,1481391180,2.7849600315093994
1,24,1481391240,2.7849600315093994
0,10,1481391300,1.1604000329971311
0,10,1481391360,1.1604000329971311
0,10,1481391420,1.1604000329971311
0,10,1481391480,1.1604000329971311
0,10,1481391540,1.1604000329971311
0,10,1481391600,1.1604000329971311
0,11,1481391660,1.2764400243759155
0,10,1481391720,1.1604000329971311
0,10,1481391780,1.1604000329971311
0,10,1481391840,1.1604000329971311
0,10,1481391900,1.1604000329971311
0,10,1481391960,1.1604000329971311
0,11,1481392020,1.2764400243759155
0,10,1481392080,1.1604000329971311
0,10,1481392140,1.1604000329971311
0,10,1481392200,1.1604000329971311
0,10,1481392260,1.1604000329971311
0,10,1481392320,1.1604000329971311
0,10,1481392380,1.1604000329971311
0,10,1481392440,1.1604000329971311
0,10,1481392500,1.1604000329971311
0,10,1481392560,1.1604000329971311
0,10,1481392620,1.1604000329971311
0,10,1481392680,1.1604000329971311
0,10,1481392740,1.1604000329971311
0,10,1481392800,1.1604000329971311
0,10,1481392860,1.1604000329971311
0,10,1481392920,1.1604000329971311
0,10,1481392980,1.1604000329971311
0,10,1481393040,1.1604000329971311
0,10,1481393100,1.1604000329971311
0,10,1481393160,1.1604000329971311
0,10,1481393220,1.1604000329971311
0,10,1481393280,1.1604000329971311
0,10,1481393340,1.1604000329971311
0,10,1481393400,1.1604000329971311
0,10,1481393460,1.1604000329971311
0,10,1481393520,1.1604000329971311
0,10,1481393580,1.1604000329971311
0,10,1481393640,1.1604000329971311
0,10,1481393700,1.1604000329971311
0,10,1481393760,1.1604000329971311
0,10,1481393820,1.1604000329971311
0,10,1481393880,1.1604000329971311
0,10,1481393940,1.1604000329971311
1,24,1481394000,2.7849600315093994
0,10,1481394060,1.1604000329971311
0,10,1481394120,1.1604000329971311
0,10,1481394180,1.1604000329971311
0,10,1481394240,1.1604000329971311
0,10,1481394300,1.1604000329971311
0,10,1481394360,1.1604000329971311
0,10,1481394420,1.1604000329971311
0,10,1481394480,1.1604000329971311
0,10,1481394540,1.1604000329971311
0,10,1481394600,1.1604000329971311
0,10,1481394660,1.1604000329971311
0,10,1481394720,1.1604000329971311
0,10,1481394780,1.1604000329971311
0,10,1481394840,1.1604000329971311
0,10,1481394900,1.1604000329971311
0,10,1481394960,1.1604000329971311
0,10,1481395020,1.1604000329971311
0,10,1481395080,1.1604000329971311
0,10,1481395140,1.1604000329971311
0,11,1481395200,1.2764400243759155
0,10,1481395260,1.1604000329971311
0,10,1481395320,1.1604000329971311
0,10,1481395380,1.1604000329971311
0,10,1481395440,1.1604000329971311
0,10,1481395500,1.1604000329971311
0,10,1481395560,1.1604000329971311
0,10,1481395620,1.1604000329971311
0,10,1481395680,1.1604000329971311
0,10,1481395740,1.1604000329971311
0,10,1481395800,1.1604000329971311
