calorieslevel,caloriesmets,time,calories
1,24,1492790400,2.7748799324035645
0,11,1492790460,1.2718199491500854
0,13,1492790520,1.503059983253479
0,13,1492790580,1.503059983253479
1,26,1492790640,3.006119966506958
1,32,1492790700,3.6998400688171382
0,13,1492790760,1.503059983253479
1,26,1492790820,3.006119966506958
0,11,1492790880,1.2718199491500854
0,11,1492790940,1.2718199491500854
1,28,1492791000,3.237360000610352
0,13,1492791060,1.503059983253479
0,13,1492791120,1.503059983253479
1,26,1492791180,3.006119966506958
1,28,1492791240,3.237360000610352
1,32,1492791300,3.6998400688171382
1,42,1492791360,4.856040000915527
1,26,1492791420,3.006119966506958
1,36,1492791480,4.162320137023927
0,15,1492791540,1.7343000173568726
1,34,1492791600,3.931080102920532
0,15,1492791660,1.7343000173568726
1,40,1492791720,4.624800205230713
1,38,1492791780,4.39355993270874
1,58,1492791840,6.705959796905518
1,46,1492791900,5.3185200691223145
1,48,1492791960,5.549759864807129
1,41,1492792020,4.740419864654541
1,39,1492792080,4.509180068969727
1,46,1492792140,5.3185200691223145
1,38,1492792200,4.39355993270874
1,30,1492792260,3.468600034713745
0,13,1492792320,1.503059983253479
0,13,1492792380,1.503059983253479
1,26,1492792440,3.006119966506958
1,26,1492792500,3.006119966506958
1,26,1492792560,3.006119966506958
0,13,1492792620,1.503059983253479
0,13,1492792680,1.503059983253479
1,24,1492792740,2.7748799324035645
1,24,1492792800,2.7748799324035645
1,32,1492792860,3.6998400688171382
1,26,1492792920,3.006119966506958
0,13,1492792980,1.503059983253479
1,34,1492793040,3.931080102920532
0,13,1492793100,1.503059983253479
0,13,1492793160,1.503059983253479
1,32,1492793220,3.6998400688171382
0,13,1492793280,1.503059983253479
0,13,1492793340,1.503059983253479
0,13,1492793400,1.503059983253479
1,30,1492793460,3.468600034713745
0,13,1492793520,1.503059983253479
0,13,1492793580,1.503059983253479
0,13,1492793640,1.503059983253479
1,34,1492793700,3.931080102920532
0,13,1492793760,1.503059983253479
0,13,1492793820,1.503059983253479
0,13,1492793880,1.503059983253479
1,34,1492793940,3.931080102920532
1,40,1492794000,4.624800205230713
1,44,1492794060,5.087279796600342
1,38,1492794120,4.39355993270874
1,42,1492794180,4.856040000915527
0,15,1492794240,1.7343000173568726
1,33,1492794300,3.8154599666595463
1,31,1492794360,3.5842199325561523
1,40,1492794420,4.624800205230713
1,33,1492794480,3.8154599666595463
1,42,1492794540,4.856040000915527
2,44,1492794600,5.087279796600342
2,44,1492794660,5.087279796600342
2,50,1492794720,5.7810001373291025
2,50,1492794780,5.7810001373291025
2,47,1492794840,5.434140205383301
2,48,1492794900,5.549759864807129
1,42,1492794960,4.856040000915527
2,44,1492795020,5.087279796600342
2,44,1492795080,5.087279796600342
2,44,1492795140,5.087279796600342
0,13,1492795200,1.503059983253479
1,28,1492795260,3.237360000610352
1,34,1492795320,3.931080102920532
1,40,1492795380,4.624800205230713
1,44,1492795440,5.087279796600342
1,42,1492795500,4.856040000915527
1,44,1492795560,5.087279796600342
1,44,1492795620,5.087279796600342
1,32,1492795680,3.6998400688171382
0,13,1492795740,1.503059983253479
1,24,1492795800,2.7748799324035645
0,10,1492795860,1.1562000513076782
0,10,1492795920,1.1562000513076782
0,11,1492795980,1.2718199491500854
1,28,1492796040,3.237360000610352
0,11,1492796100,1.2718199491500854
0,10,1492796160,1.1562000513076782
0,11,1492796220,1.2718199491500854
0,10,1492796280,1.1562000513076782
0,10,1492796340,1.1562000513076782
0,11,1492796400,1.2718199491500854
0,10,1492796460,1.1562000513076782
0,10,1492796520,1.1562000513076782
0,10,1492796580,1.1562000513076782
0,10,1492796640,1.1562000513076782
0,10,1492796700,1.1562000513076782
0,10,1492796760,1.1562000513076782
0,11,1492796820,1.2718199491500854
0,10,1492796880,1.1562000513076782
0,11,1492796940,1.2718199491500854
0,10,1492797000,1.1562000513076782
0,11,1492797060,1.2718199491500854
0,11,1492797120,1.2718199491500854
0,11,1492797180,1.2718199491500854
0,10,1492797240,1.1562000513076782
0,10,1492797300,1.1562000513076782
0,10,1492797360,1.1562000513076782
0,10,1492797420,1.1562000513076782
0,11,1492797480,1.2718199491500854
0,10,1492797540,1.1562000513076782
0,10,1492797600,1.1562000513076782
0,10,1492797660,1.1562000513076782
0,11,1492797720,1.2718199491500854
0,11,1492797780,1.2718199491500854
0,11,1492797840,1.2718199491500854
0,11,1492797900,1.2718199491500854
0,11,1492797960,1.2718199491500854
0,11,1492798020,1.2718199491500854
0,11,1492798080,1.2718199491500854
0,10,1492798140,1.1562000513076782
0,10,1492798200,1.1562000513076782
0,10,1492798260,1.1562000513076782
0,11,1492798320,1.2718199491500854
0,11,1492798380,1.2718199491500854
0,11,1492798440,1.2718199491500854
0,10,1492798500,1.1562000513076782
0,11,1492798560,1.2718199491500854
0,11,1492798620,1.2718199491500854
0,11,1492798680,1.2718199491500854
0,11,1492798740,1.2718199491500854
0,11,1492798800,1.2718199491500854
0,10,1492798860,1.1562000513076782
0,10,1492798920,1.1562000513076782
0,10,1492798980,1.1562000513076782
0,10,1492799040,1.1562000513076782
0,10,1492799100,1.1562000513076782
0,10,1492799160,1.1562000513076782
0,10,1492799220,1.1562000513076782
0,11,1492799280,1.2718199491500854
0,11,1492799340,1.2718199491500854
0,11,1492799400,1.2718199491500854
0,10,1492799460,1.1562000513076782
1,24,1492799520,2.7748799324035645
0,11,1492799580,1.2718199491500854
0,11,1492799640,1.2718199491500854
0,10,1492799700,1.1562000513076782
0,10,1492799760,1.1562000513076782
0,10,1492799820,1.1562000513076782
0,10,1492799880,1.1562000513076782
0,10,1492799940,1.1562000513076782
0,10,1492800000,1.1562000513076782
0,10,1492800060,1.1562000513076782
0,10,1492800120,1.1562000513076782
0,10,1492800180,1.1562000513076782
0,10,1492800240,1.1562000513076782
0,10,1492800300,1.1562000513076782
0,10,1492800360,1.1562000513076782
0,10,1492800420,1.1562000513076782
0,10,1492800480,1.1562000513076782
0,10,1492800540,1.1562000513076782
0,10,1492800600,1.1562000513076782
0,10,1492800660,1.1562000513076782
0,10,1492800720,1.1562000513076782
0,10,1492800780,1.1562000513076782
0,10,1492800840,1.1562000513076782
0,10,1492800900,1.1562000513076782
0,10,1492800960,1.1562000513076782
0,10,1492801020,1.1562000513076782
0,10,1492801080,1.1562000513076782
0,10,1492801140,1.1562000513076782
0,10,1492801200,1.1562000513076782
0,10,1492801260,1.1562000513076782
0,10,1492801320,1.1562000513076782
0,10,1492801380,1.1562000513076782
0,10,1492801440,1.1562000513076782
0,10,1492801500,1.1562000513076782
0,10,1492801560,1.1562000513076782
0,10,1492801620,1.1562000513076782
0,10,1492801680,1.1562000513076782
0,10,1492801740,1.1562000513076782
0,10,1492801800,1.1562000513076782
0,10,1492801860,1.1562000513076782
0,10,1492801920,1.1562000513076782
0,10,1492801980,1.1562000513076782
0,10,1492802040,1.1562000513076782
0,10,1492802100,1.1562000513076782
0,10,1492802160,1.1562000513076782
0,10,1492802220,1.1562000513076782
0,10,1492802280,1.1562000513076782
0,10,1492802340,1.1562000513076782
0,10,1492802400,1.1562000513076782
0,10,1492802460,1.1562000513076782
0,10,1492802520,1.1562000513076782
0,10,1492802580,1.1562000513076782
0,10,1492802640,1.1562000513076782
0,10,1492802700,1.1562000513076782
0,10,1492802760,1.1562000513076782
0,10,1492802820,1.1562000513076782
0,10,1492802880,1.1562000513076782
0,10,1492802940,1.1562000513076782
0,10,1492803000,1.1562000513076782
0,10,1492803060,1.1562000513076782
0,10,1492803120,1.1562000513076782
0,10,1492803180,1.1562000513076782
0,10,1492803240,1.1562000513076782
0,10,1492803300,1.1562000513076782
0,10,1492803360,1.1562000513076782
0,10,1492803420,1.1562000513076782
0,10,1492803480,1.1562000513076782
0,10,1492803540,1.1562000513076782
0,10,1492803600,1.1562000513076782
0,10,1492803660,1.1562000513076782
0,10,1492803720,1.1562000513076782
0,11,1492803780,1.2718199491500854
0,10,1492803840,1.1562000513076782
0,10,1492803900,1.1562000513076782
0,10,1492803960,1.1562000513076782
0,10,1492804020,1.1562000513076782
0,10,1492804080,1.1562000513076782
0,10,1492804140,1.1562000513076782
0,10,1492804200,1.1562000513076782
0,10,1492804260,1.1562000513076782
0,10,1492804320,1.1562000513076782
0,10,1492804380,1.1562000513076782
0,10,1492804440,1.1562000513076782
0,10,1492804500,1.1562000513076782
0,10,1492804560,1.1562000513076782
0,10,1492804620,1.1562000513076782
0,10,1492804680,1.1562000513076782
0,10,1492804740,1.1562000513076782
0,10,1492804800,1.1562000513076782
0,10,1492804860,1.1562000513076782
0,10,1492804920,1.1562000513076782
0,10,1492804980,1.1562000513076782
0,10,1492805040,1.1562000513076782
0,10,1492805100,1.1562000513076782
0,10,1492805160,1.1562000513076782
0,10,1492805220,1.1562000513076782
0,10,1492805280,1.1562000513076782
0,10,1492805340,1.1562000513076782
0,10,1492805400,1.1562000513076782
0,10,1492805460,1.1562000513076782
0,10,1492805520,1.1562000513076782
0,10,1492805580,1.1562000513076782
0,10,1492805640,1.1562000513076782
0,10,1492805700,1.1562000513076782
0,10,1492805760,1.1562000513076782
0,11,1492805820,1.2718199491500854
0,10,1492805880,1.1562000513076782
0,10,1492805940,1.1562000513076782
0,10,1492806000,1.1562000513076782
0,10,1492806060,1.1562000513076782
0,10,1492806120,1.1562000513076782
0,10,1492806180,1.1562000513076782
0,10,1492806240,1.1562000513076782
0,10,1492806300,1.1562000513076782
0,10,1492806360,1.1562000513076782
0,11,1492806420,1.2718199491500854
0,10,1492806480,1.1562000513076782
0,10,1492806540,1.1562000513076782
0,10,1492806600,1.1562000513076782
0,10,1492806660,1.1562000513076782
0,10,1492806720,1.1562000513076782
0,10,1492806780,1.1562000513076782
0,10,1492806840,1.1562000513076782
0,10,1492806900,1.1562000513076782
0,10,1492806960,1.1562000513076782
0,10,1492807020,1.1562000513076782
0,10,1492807080,1.1562000513076782
0,10,1492807140,1.1562000513076782
0,10,1492807200,1.1562000513076782
0,10,1492807260,1.1562000513076782
0,10,1492807320,1.1562000513076782
0,10,1492807380,1.1562000513076782
0,10,1492807440,1.1562000513076782
0,10,1492807500,1.1562000513076782
0,10,1492807560,1.1562000513076782
0,10,1492807620,1.1562000513076782
0,10,1492807680,1.1562000513076782
0,10,1492807740,1.1562000513076782
0,10,1492807800,1.1562000513076782
0,10,1492807860,1.1562000513076782
0,10,1492807920,1.1562000513076782
0,10,1492807980,1.1562000513076782
0,10,1492808040,1.1562000513076782
0,10,1492808100,1.1562000513076782
0,10,1492808160,1.1562000513076782
0,10,1492808220,1.1562000513076782
0,10,1492808280,1.1562000513076782
0,10,1492808340,1.1562000513076782
0,10,1492808400,1.1562000513076782
0,10,1492808460,1.1562000513076782
0,10,1492808520,1.1562000513076782
0,10,1492808580,1.1562000513076782
0,10,1492808640,1.1562000513076782
0,10,1492808700,1.1562000513076782
0,10,1492808760,1.1562000513076782
0,10,1492808820,1.1562000513076782
0,10,1492808880,1.1562000513076782
0,10,1492808940,1.1562000513076782
0,10,1492809000,1.1562000513076782
0,10,1492809060,1.1562000513076782
0,10,1492809120,1.1562000513076782
0,10,1492809180,1.1562000513076782
0,10,1492809240,1.1562000513076782
0,10,1492809300,1.1562000513076782
0,10,1492809360,1.1562000513076782
0,10,1492809420,1.1562000513076782
0,10,1492809480,1.1562000513076782
0,10,1492809540,1.1562000513076782
0,10,1492809600,1.1562000513076782
0,10,1492809660,1.1562000513076782
0,10,1492809720,1.1562000513076782
0,10,1492809780,1.1562000513076782
0,10,1492809840,1.1562000513076782
0,10,1492809900,1.1562000513076782
0,10,1492809960,1.1562000513076782
0,10,1492810020,1.1562000513076782
0,10,1492810080,1.1562000513076782
0,10,1492810140,1.1562000513076782
0,10,1492810200,1.1562000513076782
0,10,1492810260,1.1562000513076782
0,10,1492810320,1.1562000513076782
0,10,1492810380,1.1562000513076782
0,10,1492810440,1.1562000513076782
0,10,1492810500,1.1562000513076782
0,10,1492810560,1.1562000513076782
0,10,1492810620,1.1562000513076782
0,10,1492810680,1.1562000513076782
0,10,1492810740,1.1562000513076782
0,10,1492810800,1.1562000513076782
0,10,1492810860,1.1562000513076782
0,10,1492810920,1.1562000513076782
0,10,1492810980,1.1562000513076782
0,10,1492811040,1.1562000513076782
0,10,1492811100,1.1562000513076782
0,10,1492811160,1.1562000513076782
0,10,1492811220,1.1562000513076782
0,10,1492811280,1.1562000513076782
0,10,1492811340,1.1562000513076782
0,10,1492811400,1.1562000513076782
0,10,1492811460,1.1562000513076782
0,10,1492811520,1.1562000513076782
0,10,1492811580,1.1562000513076782
0,10,1492811640,1.1562000513076782
0,10,1492811700,1.1562000513076782
0,10,1492811760,1.1562000513076782
0,10,1492811820,1.1562000513076782
0,10,1492811880,1.1562000513076782
0,10,1492811940,1.1562000513076782
0,10,1492812000,1.1562000513076782
0,10,1492812060,1.1562000513076782
0,10,1492812120,1.1562000513076782
0,10,1492812180,1.1562000513076782
0,10,1492812240,1.1562000513076782
0,10,1492812300,1.1562000513076782
0,10,1492812360,1.1562000513076782
0,10,1492812420,1.1562000513076782
0,10,1492812480,1.1562000513076782
0,10,1492812540,1.1562000513076782
0,10,1492812600,1.1562000513076782
0,10,1492812660,1.1562000513076782
0,10,1492812720,1.1562000513076782
0,11,1492812780,1.2718199491500854
0,10,1492812840,1.1562000513076782
