calorieslevel,caloriesmets,time,calories
0,10,1481990400,1.1567000150680542
0,10,1481990460,1.1567000150680542
0,10,1481990520,1.1567000150680542
0,10,1481990580,1.1567000150680542
0,10,1481990640,1.1567000150680542
0,10,1481990700,1.1567000150680542
0,10,1481990760,1.1567000150680542
0,10,1481990820,1.1567000150680542
0,10,1481990880,1.1567000150680542
0,10,1481990940,1.1567000150680542
0,10,1481991000,1.1567000150680542
0,10,1481991060,1.1567000150680542
0,10,1481991120,1.1567000150680542
0,10,1481991180,1.1567000150680542
0,10,1481991240,1.1567000150680542
0,10,1481991300,1.1567000150680542
0,10,1481991360,1.1567000150680542
0,10,1481991420,1.1567000150680542
0,10,1481991480,1.1567000150680542
0,10,1481991540,1.1567000150680542
0,10,1481991600,1.1567000150680542
0,10,1481991660,1.1567000150680542
0,10,1481991720,1.1567000150680542
0,10,1481991780,1.1567000150680542
0,10,1481991840,1.1567000150680542
0,10,1481991900,1.1567000150680542
0,10,1481991960,1.1567000150680542
0,10,1481992020,1.1567000150680542
0,10,1481992080,1.1567000150680542
0,10,1481992140,1.1567000150680542
0,10,1481992200,1.1567000150680542
0,10,1481992260,1.1567000150680542
0,10,1481992320,1.1567000150680542
0,10,1481992380,1.1567000150680542
0,10,1481992440,1.1567000150680542
0,10,1481992500,1.1567000150680542
0,10,1481992560,1.1567000150680542
0,10,1481992620,1.1567000150680542
0,10,1481992680,1.1567000150680542
0,10,1481992740,1.1567000150680542
0,10,1481992800,1.1567000150680542
0,10,1481992860,1.1567000150680542
0,10,1481992920,1.1567000150680542
0,10,1481992980,1.1567000150680542
0,10,1481993040,1.1567000150680542
0,10,1481993100,1.1567000150680542
0,10,1481993160,1.1567000150680542
0,10,1481993220,1.1567000150680542
0,10,1481993280,1.1567000150680542
0,13,1481993340,1.5037100315093994
1,36,1481993400,4.164120197296144
1,44,1481993460,5.089479923248291
1,38,1481993520,4.395460128784181
1,36,1481993580,4.164120197296144
1,42,1481993640,4.858139991760254
1,40,1481993700,4.626800060272217
1,38,1481993760,4.395460128784181
1,40,1481993820,4.626800060272217
1,38,1481993880,4.395460128784181
1,32,1481993940,3.701440095901489
1,26,1481994000,3.007420063018799
1,32,1481994060,3.701440095901489
1,34,1481994120,3.9327800273895264
1,32,1481994180,3.701440095901489
0,13,1481994240,1.5037100315093994
1,30,1481994300,3.470099925994873
1,38,1481994360,4.395460128784181
1,26,1481994420,3.007420063018799
1,32,1481994480,3.701440095901489
1,44,1481994540,5.089479923248291
1,40,1481994600,4.626800060272217
1,40,1481994660,4.626800060272217
1,24,1481994720,2.7760798931121826
0,10,1481994780,1.1567000150680542
0,11,1481994840,1.2723699808120728
0,10,1481994900,1.1567000150680542
0,10,1481994960,1.1567000150680542
0,10,1481995020,1.1567000150680542
0,10,1481995080,1.1567000150680542
0,10,1481995140,1.1567000150680542
0,11,1481995200,1.2723699808120728
0,11,1481995260,1.2723699808120728
0,10,1481995320,1.1567000150680542
0,10,1481995380,1.1567000150680542
0,10,1481995440,1.1567000150680542
0,10,1481995500,1.1567000150680542
0,10,1481995560,1.1567000150680542
0,10,1481995620,1.1567000150680542
0,10,1481995680,1.1567000150680542
0,10,1481995740,1.1567000150680542
0,10,1481995800,1.1567000150680542
0,10,1481995860,1.1567000150680542
0,10,1481995920,1.1567000150680542
0,10,1481995980,1.1567000150680542
0,10,1481996040,1.1567000150680542
0,10,1481996100,1.1567000150680542
0,11,1481996160,1.2723699808120728
1,28,1481996220,3.2387599945068364
0,10,1481996280,1.1567000150680542
0,10,1481996340,1.1567000150680542
0,10,1481996400,1.1567000150680542
0,10,1481996460,1.1567000150680542
0,10,1481996520,1.1567000150680542
0,10,1481996580,1.1567000150680542
0,10,1481996640,1.1567000150680542
0,10,1481996700,1.1567000150680542
0,10,1481996760,1.1567000150680542
0,10,1481996820,1.1567000150680542
0,10,1481996880,1.1567000150680542
0,10,1481996940,1.1567000150680542
0,10,1481997000,1.1567000150680542
0,10,1481997060,1.1567000150680542
0,10,1481997120,1.1567000150680542
0,10,1481997180,1.1567000150680542
0,10,1481997240,1.1567000150680542
0,10,1481997300,1.1567000150680542
0,10,1481997360,1.1567000150680542
0,10,1481997420,1.1567000150680542
0,10,1481997480,1.1567000150680542
0,10,1481997540,1.1567000150680542
0,10,1481997600,1.1567000150680542
0,10,1481997660,1.1567000150680542
0,10,1481997720,1.1567000150680542
0,10,1481997780,1.1567000150680542
0,10,1481997840,1.1567000150680542
0,10,1481997900,1.1567000150680542
0,10,1481997960,1.1567000150680542
0,10,1481998020,1.1567000150680542
0,10,1481998080,1.1567000150680542
0,10,1481998140,1.1567000150680542
0,10,1481998200,1.1567000150680542
0,10,1481998260,1.1567000150680542
0,10,1481998320,1.1567000150680542
0,10,1481998380,1.1567000150680542
0,10,1481998440,1.1567000150680542
0,10,1481998500,1.1567000150680542
0,10,1481998560,1.1567000150680542
0,10,1481998620,1.1567000150680542
0,10,1481998680,1.1567000150680542
