calorieslevel,caloriesmets,time,calories
0,11,1491494400,1.2718199491500854
0,11,1491494460,1.2718199491500854
0,11,1491494520,1.2718199491500854
0,11,1491494580,1.2718199491500854
0,10,1491494640,1.1562000513076782
0,10,1491494700,1.1562000513076782
0,10,1491494760,1.1562000513076782
0,10,1491494820,1.1562000513076782
0,11,1491494880,1.2718199491500854
0,11,1491494940,1.2718199491500854
0,11,1491495000,1.2718199491500854
0,11,1491495060,1.2718199491500854
0,10,1491495120,1.1562000513076782
0,11,1491495180,1.2718199491500854
0,10,1491495240,1.1562000513076782
1,24,1491495300,2.7748799324035645
1,26,1491495360,3.006119966506958
1,30,1491495420,3.468600034713745
0,13,1491495480,1.503059983253479
1,32,1491495540,3.6998400688171382
1,34,1491495600,3.931080102920532
1,36,1491495660,4.162320137023927
1,40,1491495720,4.624800205230713
0,13,1491495780,1.503059983253479
0,13,1491495840,1.503059983253479
0,13,1491495900,1.503059983253479
0,12,1491495960,1.3874399662017822
0,10,1491496020,1.1562000513076782
0,10,1491496080,1.1562000513076782
0,10,1491496140,1.1562000513076782
0,10,1491496200,1.1562000513076782
0,10,1491496260,1.1562000513076782
0,10,1491496320,1.1562000513076782
0,10,1491496380,1.1562000513076782
0,10,1491496440,1.1562000513076782
0,10,1491496500,1.1562000513076782
0,10,1491496560,1.1562000513076782
0,10,1491496620,1.1562000513076782
0,10,1491496680,1.1562000513076782
0,10,1491496740,1.1562000513076782
0,10,1491496800,1.1562000513076782
1,24,1491496860,2.7748799324035645
1,24,1491496920,2.7748799324035645
0,10,1491496980,1.1562000513076782
0,10,1491497040,1.1562000513076782
0,11,1491497100,1.2718199491500854
0,10,1491497160,1.1562000513076782
0,11,1491497220,1.2718199491500854
0,10,1491497280,1.1562000513076782
0,11,1491497340,1.2718199491500854
0,10,1491497400,1.1562000513076782
0,10,1491497460,1.1562000513076782
0,11,1491497520,1.2718199491500854
0,10,1491497580,1.1562000513076782
0,11,1491497640,1.2718199491500854
0,10,1491497700,1.1562000513076782
0,10,1491497760,1.1562000513076782
0,10,1491497820,1.1562000513076782
0,10,1491497880,1.1562000513076782
0,11,1491497940,1.2718199491500854
0,10,1491498000,1.1562000513076782
0,11,1491498060,1.2718199491500854
0,11,1491498120,1.2718199491500854
0,10,1491498180,1.1562000513076782
0,10,1491498240,1.1562000513076782
0,10,1491498300,1.1562000513076782
0,10,1491498360,1.1562000513076782
0,10,1491498420,1.1562000513076782
0,10,1491498480,1.1562000513076782
0,10,1491498540,1.1562000513076782
0,10,1491498600,1.1562000513076782
0,10,1491498660,1.1562000513076782
0,10,1491498720,1.1562000513076782
0,10,1491498780,1.1562000513076782
0,10,1491498840,1.1562000513076782
0,10,1491498900,1.1562000513076782
0,10,1491498960,1.1562000513076782
0,11,1491499020,1.2718199491500854
0,10,1491499080,1.1562000513076782
0,10,1491499140,1.1562000513076782
0,10,1491499200,1.1562000513076782
0,10,1491499260,1.1562000513076782
0,10,1491499320,1.1562000513076782
0,10,1491499380,1.1562000513076782
0,10,1491499440,1.1562000513076782
0,10,1491499500,1.1562000513076782
0,10,1491499560,1.1562000513076782
0,10,1491499620,1.1562000513076782
