time,floors
1484236800,0
1484236860,0
1484236920,0
1484236980,0
1484237040,0
1484237100,0
1484237160,0
1484237220,0
1484237280,0
1484237340,0
1484237400,0
1484237460,0
1484237520,0
1484237580,0
1484237640,0
1484237700,0
1484237760,0
1484237820,0
1484237880,0
1484237940,0
1484238000,0
1484238060,0
1484238120,0
1484238180,0
1484238240,0
1484238300,0
1484238360,0
1484238420,0
1484238480,0
1484238540,0
1484238600,0
1484238660,0
1484238720,0
1484238780,0
1484238840,0
1484238900,0
1484238960,0
1484239020,0
1484239080,0
1484239140,0
1484239200,0
1484239260,0
1484239320,0
1484239380,0
1484239440,0
1484239500,0
1484239560,0
1484239620,0
1484239680,0
1484239740,0
1484239800,0
1484239860,0
1484239920,0
1484239980,0
1484240040,0
1484240100,0
1484240160,0
1484240220,0
1484240280,0
1484240340,0
1484240400,0
1484240460,0
1484240520,0
1484240580,0
1484240640,0
1484240700,0
1484240760,0
1484240820,0
1484240880,0
1484240940,0
1484241000,0
1484241060,0
1484241120,0
1484241180,0
1484241240,0
1484241300,0
1484241360,0
1484241420,0
1484241480,0
1484241540,0
1484241600,0
1484241660,0
1484241720,0
1484241780,0
1484241840,0
1484241900,0
1484241960,0
1484242020,0
1484242080,0
1484242140,0
1484242200,0
1484242260,0
1484242320,0
1484242380,0
1484242440,0
1484242500,0
1484242560,0
1484242620,0
1484242680,0
1484242740,0
1484242800,0
1484242860,0
1484242920,0
1484242980,0
1484243040,0
1484243100,0
1484243160,0
1484243220,0
1484243280,0
1484243340,0
1484243400,0
1484243460,0
1484243520,0
1484243580,0
1484243640,0
1484243700,0
1484243760,0
1484243820,0
1484243880,0
1484243940,0
1484244000,0
1484244060,0
1484244120,0
1484244180,0
1484244240,0
1484244300,0
1484244360,0
1484244420,0
1484244480,0
1484244540,0
1484244600,0
1484244660,0
1484244720,0
1484244780,0
1484244840,0
1484244900,0
1484244960,0
1484245020,0
1484245080,0
1484245140,0
1484245200,0
1484245260,0
1484245320,0
1484245380,0
1484245440,0
1484245500,0
1484245560,0
1484245620,0
1484245680,0
1484245740,0
1484245800,0
1484245860,0
1484245920,0
1484245980,0
1484246040,0
1484246100,0
1484246160,0
1484246220,0
1484246280,0
1484246340,0
1484246400,0
1484246460,0
1484246520,0
1484246580,0
1484246640,0
1484246700,0
1484246760,0
1484246820,0
1484246880,0
1484246940,0
1484247000,0
1484247060,0
1484247120,0
1484247180,0
1484247240,0
1484247300,0
1484247360,0
1484247420,0
1484247480,0
1484247540,0
1484247600,0
1484247660,0
1484247720,0
1484247780,0
1484247840,0
1484247900,0
1484247960,0
1484248020,0
1484248080,0
1484248140,0
1484248200,0
1484248260,0
1484248320,0
1484248380,0
1484248440,0
1484248500,0
1484248560,0
1484248620,0
1484248680,0
1484248740,0
1484248800,0
1484248860,0
1484248920,0
1484248980,0
1484249040,0
1484249100,0
1484249160,0
1484249220,0
1484249280,0
1484249340,0
1484249400,0
1484249460,0
1484249520,0
1484249580,0
1484249640,0
1484249700,0
1484249760,0
1484249820,0
1484249880,0
1484249940,0
1484250000,0
1484250060,0
1484250120,0
1484250180,0
1484250240,0
1484250300,0
1484250360,0
1484250420,0
1484250480,0
1484250540,0
1484250600,0
1484250660,0
1484250720,0
1484250780,0
1484250840,0
1484250900,0
1484250960,0
1484251020,0
1484251080,0
1484251140,0
1484251200,0
1484251260,0
1484251320,0
1484251380,0
1484251440,0
1484251500,0
1484251560,0
1484251620,0
1484251680,0
1484251740,0
1484251800,0
1484251860,0
1484251920,0
1484251980,0
1484252040,0
1484252100,0
1484252160,0
1484252220,0
1484252280,0
1484252340,0
1484252400,0
1484252460,0
1484252520,0
1484252580,0
1484252640,0
1484252700,0
1484252760,0
1484252820,0
1484252880,0
1484252940,0
1484253000,0
1484253060,0
1484253120,0
1484253180,0
1484253240,0
1484253300,0
1484253360,0
1484253420,0
1484253480,0
1484253540,0
1484253600,0
1484253660,0
1484253720,0
1484253780,0
1484253840,0
1484253900,0
1484253960,0
1484254020,0
1484254080,0
1484254140,0
1484254200,0
1484254260,0
1484254320,0
1484254380,0
1484254440,0
1484254500,0
1484254560,0
1484254620,0
1484254680,0
1484254740,0
1484254800,0
1484254860,0
1484254920,0
1484254980,0
1484255040,0
1484255100,0
1484255160,0
1484255220,0
1484255280,0
1484255340,0
1484255400,0
1484255460,0
1484255520,0
1484255580,0
1484255640,0
1484255700,0
1484255760,0
1484255820,0
1484255880,0
1484255940,0
1484256000,0
1484256060,0
1484256120,0
1484256180,0
1484256240,0
1484256300,0
1484256360,0
1484256420,0
1484256480,0
1484256540,0
1484256600,0
1484256660,0
1484256720,0
1484256780,0
1484256840,0
1484256900,0
1484256960,0
1484257020,0
1484257080,0
1484257140,0
1484257200,0
1484257260,0
1484257320,0
1484257380,0
1484257440,0
1484257500,0
1484257560,0
1484257620,0
1484257680,0
1484257740,0
1484257800,0
1484257860,0
1484257920,0
1484257980,0
1484258040,0
1484258100,0
1484258160,0
1484258220,0
1484258280,0
1484258340,0
1484258400,0
1484258460,0
1484258520,0
1484258580,0
1484258640,0
1484258700,0
1484258760,0
1484258820,0
1484258880,0
1484258940,0
1484259000,0
1484259060,0
1484259120,0
1484259180,0
1484259240,0
1484259300,0
1484259360,0
1484259420,0
1484259480,0
1484259540,0
1484259600,0
1484259660,0
1484259720,0
1484259780,0
1484259840,0
1484259900,0
1484259960,0
1484260020,0
1484260080,0
1484260140,0
1484260200,0
1484260260,0
1484260320,0
1484260380,0
1484260440,0
1484260500,0
1484260560,0
1484260620,0
1484260680,0
1484260740,0
1484260800,0
1484260860,0
1484260920,0
1484260980,0
1484261040,0
1484261100,0
1484261160,0
1484261220,0
1484261280,0
1484261340,0
1484261400,0
1484261460,0
1484261520,0
1484261580,0
1484261640,0
1484261700,0
1484261760,0
1484261820,0
1484261880,0
1484261940,0
1484262000,0
1484262060,0
1484262120,0
1484262180,0
1484262240,0
1484262300,0
1484262360,0
1484262420,0
1484262480,0
1484262540,0
1484262600,0
1484262660,0
1484262720,0
1484262780,0
1484262840,0
1484262900,0
1484262960,0
1484263020,0
1484263080,0
1484263140,0
1484263200,0
1484263260,0
1484263320,0
