time,sleep
24480,1
24540,1
24600,1
24660,1
24720,1
24780,1
24840,1
24900,1
24960,1
25020,1
25080,1
25140,1
25200,1
25260,1
25320,1
25380,1
25440,1
25500,1
25560,1
25620,1
25680,1
25740,1
25800,1
25860,1
25920,1
25980,1
26040,1
26100,1
26160,1
26220,1
26280,1
26340,1
26400,1
26460,1
26520,1
26580,1
26640,1
26700,2
26760,1
26820,1
26880,2
26940,1
27000,1
27060,1
27120,1
27180,1
27240,1
27300,1
27360,1
27420,1
27480,1
27540,1
27600,1
27660,1
27720,1
27780,1
27840,1
27900,1
27960,1
28020,1
28080,1
28140,1
28200,1
28260,1
28320,1
28380,2
28440,1
28500,1
28560,1
28620,1
28680,1
28740,1
