time,sleep
1481735040,1
1481735100,1
1481735160,1
1481735220,1
1481735280,1
1481735340,1
1481735400,1
1481735460,1
1481735520,2
1481735580,1
1481735640,1
1481735700,1
1481735760,1
1481735820,1
1481735880,1
1481735940,1
1481736000,1
1481736060,1
1481736120,1
1481736180,1
1481736240,1
1481736300,1
1481736360,1
1481736420,1
1481736480,1
1481736540,1
1481736600,1
1481736660,1
1481736720,1
1481736780,1
1481736840,1
1481736900,1
1481736960,1
1481737020,1
1481737080,1
1481737140,1
1481737200,1
1481737260,1
1481737320,1
1481737380,1
1481737440,1
1481737500,2
1481737560,1
1481737620,1
1481737680,1
1481737740,1
1481737800,1
1481737860,1
1481737920,1
1481737980,1
1481738040,1
1481738100,1
1481738160,1
1481738220,1
1481738280,1
1481738340,1
1481738400,1
1481738460,1
1481738520,1
1481738580,1
1481738640,1
1481738700,1
1481738760,1
1481738820,1
1481738880,1
1481738940,1
1481739000,2
1481739060,1
1481739120,1
1481739180,1
1481739240,1
1481739300,1
1481739360,1
1481739420,1
1481739480,1
1481739540,1
1481739600,1
1481739660,1
1481739720,1
1481739780,1
1481739840,1
1481739900,1
1481739960,1
1481740020,1
1481740080,1
1481740140,1
1481740200,1
1481740260,1
1481740320,1
1481740380,1
1481740440,1
1481740500,1
1481740560,1
1481740620,1
1481740680,1
1481740740,1
1481740800,1
1481740860,1
1481740920,1
1481740980,1
1481741040,1
1481741100,1
1481741160,1
1481741220,1
1481741280,1
1481741340,1
1481741400,1
1481741460,1
1481741520,1
1481741580,1
1481741640,1
1481741700,1
1481741760,1
1481741820,1
1481741880,1
1481741940,1
1481742000,1
1481742060,1
1481742120,1
1481742180,1
1481742240,1
1481742300,1
1481742360,1
1481742420,1
1481742480,1
1481742540,1
1481742600,1
1481742660,1
1481742720,1
1481742780,1
1481742840,1
1481742900,2
1481742960,1
1481743020,1
1481743080,1
1481743140,1
1481743200,1
1481743260,1
1481743320,1
1481743380,1
1481743440,1
1481743500,1
1481743560,1
1481743620,1
1481743680,1
1481743740,1
1481743800,1
1481743860,1
1481743920,1
1481743980,1
1481744040,1
1481744100,1
1481744160,1
1481744220,1
1481744280,1
1481744340,1
1481744400,1
1481744460,1
1481744520,1
1481744580,1
1481744640,1
1481744700,1
1481744760,1
1481744820,1
1481744880,1
1481744940,1
1481745000,1
1481745060,1
1481745120,1
1481745180,1
1481745240,1
1481745300,1
1481745360,1
1481745420,1
1481745480,1
1481745540,1
1481745600,1
