time,sleep
1480783800,1
1480783860,1
1480783920,1
1480783980,1
1480784040,1
1480784100,1
1480784160,1
1480784220,1
1480784280,1
1480784340,2
1480784400,1
1480784460,1
1480784520,1
1480784580,1
1480784640,1
1480784700,1
1480784760,1
1480784820,1
1480784880,1
1480784940,1
1480785000,1
1480785060,1
1480785120,1
1480785180,1
1480785240,1
1480785300,1
1480785360,1
1480785420,1
1480785480,1
1480785540,1
1480785600,1
1480785660,1
1480785720,1
1480785780,1
1480785840,1
1480785900,1
1480785960,1
1480786020,1
1480786080,1
1480786140,1
1480786200,1
1480786260,1
1480786320,1
1480786380,1
1480786440,1
1480786500,1
1480786560,1
1480786620,1
1480786680,1
1480786740,1
1480786800,1
1480786860,1
1480786920,1
1480786980,1
1480787040,1
1480787100,1
1480787160,1
1480787220,1
1480787280,2
1480787340,1
1480787400,1
1480787460,1
1480787520,1
1480787580,1
1480787640,1
1480787700,1
1480787760,1
1480787820,1
1480787880,1
1480787940,1
1480788000,1
1480788060,1
1480788120,1
1480788180,1
1480788240,1
1480788300,1
1480788360,2
1480788420,1
1480788480,2
1480788540,1
1480788600,1
1480788660,1
1480788720,1
1480788780,1
1480788840,1
1480788900,1
1480788960,1
1480789020,1
1480789080,1
1480789140,1
1480789200,1
1480789260,1
1480789320,1
1480789380,1
1480789440,1
1480789500,1
1480789560,1
1480789620,1
1480789680,1
1480789740,1
1480789800,1
1480789860,1
1480789920,1
1480789980,1
1480790040,1
1480790100,1
1480790160,1
1480790220,1
1480790280,1
1480790340,1
1480790400,1
1480790460,1
1480790520,1
1480790580,1
1480790640,1
1480790700,1
1480790760,1
1480790820,1
1480790880,1
1480790940,1
1480791000,1
1480791060,1
1480791120,1
1480791180,1
1480791240,1
1480791300,1
1480791360,1
1480791420,1
1480791480,1
1480791540,1
1480791600,1
1480791660,1
1480791720,1
1480791780,1
1480791840,1
1480791900,1
1480791960,1
1480792020,1
1480792080,1
1480792140,1
1480792200,1
1480792260,1
1480792320,1
1480792380,1
1480792440,1
1480792500,1
1480792560,1
1480792620,1
1480792680,1
1480792740,1
1480792800,1
1480792860,1
1480792920,1
1480792980,1
1480793040,1
1480793100,2
1480793160,2
1480793220,2
1480793280,3
1480793340,1
1480793400,2
1480793460,1
1480793520,1
1480793580,1
1480793640,1
1480793700,1
1480793760,1
1480793820,1
1480793880,1
1480793940,1
1480794000,1
1480794060,1
1480794120,1
1480794180,1
1480794240,1
1480794300,1
1480794360,1
1480794420,1
1480794480,1
1480794540,1
1480794600,1
1480794660,1
1480794720,1
1480794780,1
1480794840,1
1480794900,1
1480794960,1
1480795020,2
1480795080,1
1480795140,1
1480795200,1
1480795260,1
1480795320,1
1480795380,1
1480795440,1
1480795500,1
1480795560,1
1480795620,1
1480795680,1
1480795740,1
1480795800,1
1480795860,1
1480795920,1
1480795980,1
1480796040,1
1480796100,1
1480796160,1
1480796220,1
1480796280,1
1480796340,1
1480796400,1
1480796460,1
1480796520,1
1480796580,1
1480796640,1
1480796700,1
1480796760,2
1480796820,1
1480796880,1
1480796940,1
1480797000,2
1480797060,2
1480797120,3
1480797180,2
1480797240,1
1480797300,1
1480797360,1
1480797420,1
1480797480,1
1480797540,1
1480797600,1
1480797660,1
1480797720,1
1480797780,1
1480797840,1
1480797900,1
1480797960,1
1480798020,1
1480798080,1
1480798140,1
1480798200,1
1480798260,1
1480798320,1
1480798380,1
1480798440,1
1480798500,1
1480798560,1
1480798620,1
1480798680,1
1480798740,1
1480798800,1
1480798860,1
1480798920,1
1480798980,1
1480799040,1
1480799100,1
1480799160,1
1480799220,1
1480799280,1
1480799340,1
1480799400,1
1480799460,1
1480799520,1
1480799580,1
1480799640,1
1480799700,2
1480799760,1
1480799820,1
1480799880,1
1480799940,1
1480800000,1
1480800060,1
1480800120,1
1480800180,1
1480800240,1
1480800300,1
1480800360,1
1480800420,1
1480800480,1
1480800540,1
1480800600,1
1480800660,1
1480800720,1
1480800780,1
1480800840,1
1480800900,1
1480800960,1
1480801020,1
1480801080,1
1480801140,1
1480801200,1
1480801260,1
1480801320,1
1480801380,1
1480801440,1
1480801500,1
1480801560,2
1480801620,1
1480801680,1
1480801740,1
1480801800,1
1480801860,1
1480801920,1
1480801980,1
1480802040,1
1480802100,1
1480802160,1
1480802220,1
1480802280,1
1480802340,1
1480802400,1
1480802460,1
1480802520,1
1480802580,1
1480802640,1
1480802700,1
1480802760,1
1480802820,1
1480802880,1
1480802940,1
1480803000,1
1480803060,1
1480803120,1
1480803180,1
1480803240,1
1480803300,1
1480803360,2
1480803420,1
1480803480,1
1480803540,1
1480803600,1
1480803660,1
1480803720,1
1480803780,1
1480803840,1
1480803900,1
1480803960,1
1480804020,1
1480804080,1
1480804140,1
1480804200,1
1480804260,1
1480804320,1
1480804380,1
1480804440,1
1480804500,1
1480804560,1
1480804620,1
1480804680,1
1480804740,1
1480804800,1
1480804860,1
1480804920,1
1480804980,2
1480805040,1
1480805100,1
1480805160,1
1480805220,1
1480805280,1
1480805340,1
1480805400,1
1480805460,1
1480805520,1
1480805580,1
1480805640,1
1480805700,1
1480805760,1
1480805820,1
1480805880,1
1480805940,1
1480806000,1
1480806060,1
1480806120,2
1480806180,1
1480806240,1
1480806300,1
1480806360,2
1480806420,1
1480806480,1
1480806540,1
1480806600,1
1480806660,1
1480806720,1
1480806780,1
1480806840,1
1480806900,1
1480806960,1
1480807020,1
1480807080,1
1480807140,1
1480807200,1
1480807260,1
1480807320,1
1480807380,1
1480807440,1
1480807500,1
1480807560,1
1480807620,1
1480807680,1
1480807740,1
1480807800,1
1480807860,1
1480807920,2
1480807980,2
1480808040,2
1480808100,1
1480808160,1
1480808220,1
1480808280,1
1480808340,1
1480808400,1
1480808460,1
1480808520,1
1480808580,1
1480808640,1
1480808700,1
1480808760,1
1480808820,1
1480808880,1
1480808940,1
1480809000,1
1480809060,1
1480809120,1
1480809180,1
1480809240,1
1480809300,1
1480809360,1
1480809420,1
1480809480,1
1480809540,1
1480809600,1
1480809660,1
1480809720,1
1480809780,1
1480809840,1
1480809900,1
1480809960,1
1480810020,1
1480810080,1
1480810140,1
1480810200,1
1480810260,1
1480810320,1
1480810380,2
1480810440,2
1480810500,2
1480810560,2
