time,sleep
1481040000,1
1481040060,1
1481040120,1
1481040180,1
1481040240,1
1481040300,1
1481040360,1
1481040420,1
1481040480,1
1481040540,1
1481040600,1
1481040660,1
1481040720,1
1481040780,1
1481040840,2
1481040900,2
1481040960,2
1481041020,3
1481041080,1
1481041140,1
1481041200,1
1481041260,1
1481041320,1
1481041380,1
1481041440,1
1481041500,1
1481041560,1
1481041620,1
1481041680,1
1481041740,1
1481041800,2
1481041860,2
1481041920,3
1481041980,2
1481042040,1
1481042100,1
1481042160,1
1481042220,1
1481042280,2
1481042340,2
1481042400,2
1481042460,3
1481042520,2
1481042580,1
1481042640,1
1481042700,1
1481042760,1
1481042820,1
1481042880,1
1481042940,1
1481043000,1
1481043060,1
1481043120,1
1481043180,1
1481043240,1
1481043300,1
1481043360,1
1481043420,1
1481043480,1
1481043540,1
1481043600,1
1481043660,1
1481043720,1
1481043780,1
1481043840,1
1481043900,1
1481043960,2
1481044020,1
1481044080,1
1481044140,1
1481044200,1
1481044260,1
1481044320,1
1481044380,1
1481044440,1
1481044500,1
1481044560,1
1481044620,1
1481044680,1
1481044740,1
1481044800,1
1481044860,1
1481044920,1
1481044980,1
1481045040,1
1481045100,1
1481045160,1
1481045220,1
1481045280,1
1481045340,1
1481045400,1
1481045460,1
1481045520,1
1481045580,1
1481045640,1
1481045700,1
1481045760,1
1481045820,1
1481045880,1
1481045940,1
1481046000,1
1481046060,1
1481046120,1
1481046180,1
1481046240,1
1481046300,1
1481046360,1
1481046420,1
1481046480,1
1481046540,1
1481046600,2
1481046660,1
1481046720,1
1481046780,1
1481046840,1
1481046900,1
1481046960,1
1481047020,1
1481047080,1
1481047140,1
1481047200,1
1481047260,1
1481047320,1
1481047380,1
1481047440,1
1481047500,1
1481047560,1
1481047620,1
1481047680,2
1481047740,1
1481047800,1
1481047860,1
1481047920,1
1481047980,1
1481048040,1
1481048100,1
1481048160,1
1481048220,1
1481048280,1
1481048340,1
1481048400,1
1481048460,1
1481048520,1
1481048580,1
1481048640,1
1481048700,1
1481048760,1
1481048820,1
1481048880,1
1481048940,1
1481049000,1
1481049060,1
1481049120,1
1481049180,1
1481049240,1
1481049300,1
1481049360,1
1481049420,1
1481049480,1
1481049540,1
1481049600,1
1481049660,1
1481049720,1
1481049780,1
1481049840,1
1481049900,1
1481049960,1
1481050020,1
1481050080,1
1481050140,1
1481050200,1
1481050260,1
1481050320,1
1481050380,1
1481050440,1
1481050500,1
1481050560,1
1481050620,1
1481050680,1
1481050740,1
1481050800,1
1481050860,1
1481050920,1
1481050980,1
1481051040,1
1481051100,1
1481051160,1
1481051220,1
1481051280,1
1481051340,1
1481051400,1
1481051460,1
1481051520,1
1481051580,1
1481051640,1
1481051700,1
1481051760,1
1481051820,1
1481051880,1
1481051940,1
1481052000,1
1481052060,1
