time,sleep
1481128680,1
1481128740,2
1481128800,1
1481128860,1
1481128920,1
1481128980,1
1481129040,2
1481129100,1
1481129160,1
1481129220,1
1481129280,1
1481129340,1
1481129400,1
1481129460,1
1481129520,1
1481129580,1
1481129640,1
1481129700,1
1481129760,1
1481129820,1
1481129880,1
1481129940,1
1481130000,1
1481130060,1
1481130120,1
1481130180,1
1481130240,1
1481130300,1
1481130360,1
1481130420,1
1481130480,1
1481130540,1
1481130600,1
1481130660,1
1481130720,1
1481130780,1
1481130840,1
1481130900,1
1481130960,1
1481131020,1
1481131080,1
1481131140,1
1481131200,1
1481131260,1
1481131320,1
1481131380,1
1481131440,1
1481131500,1
1481131560,1
1481131620,1
1481131680,1
1481131740,1
1481131800,1
1481131860,1
1481131920,1
1481131980,1
1481132040,1
1481132100,1
1481132160,1
1481132220,1
1481132280,1
1481132340,1
1481132400,1
1481132460,1
1481132520,1
1481132580,1
1481132640,1
1481132700,1
1481132760,1
1481132820,1
1481132880,1
1481132940,1
1481133000,1
1481133060,1
1481133120,1
1481133180,1
1481133240,1
1481133300,1
1481133360,1
1481133420,1
1481133480,1
1481133540,1
1481133600,1
1481133660,1
1481133720,1
1481133780,1
1481133840,1
1481133900,1
1481133960,1
1481134020,1
1481134080,1
1481134140,1
1481134200,1
1481134260,1
1481134320,1
1481134380,1
1481134440,1
1481134500,1
1481134560,1
1481134620,1
1481134680,1
1481134740,1
1481134800,1
1481134860,1
1481134920,1
1481134980,1
1481135040,1
1481135100,1
1481135160,1
1481135220,1
1481135280,1
1481135340,1
1481135400,1
1481135460,1
1481135520,1
1481135580,1
1481135640,1
1481135700,1
1481135760,1
1481135820,1
1481135880,1
1481135940,1
1481136000,1
1481136060,1
1481136120,1
1481136180,1
1481136240,1
1481136300,1
1481136360,1
1481136420,1
1481136480,1
1481136540,1
1481136600,1
1481136660,1
1481136720,1
1481136780,1
1481136840,1
1481136900,1
1481136960,1
1481137020,1
1481137080,1
1481137140,1
1481137200,1
1481137260,1
1481137320,1
1481137380,1
1481137440,1
1481137500,1
1481137560,1
1481137620,1
1481137680,1
1481137740,2
1481137800,1
1481137860,2
1481137920,2
1481137980,1
1481138040,1
1481138100,1
1481138160,1
1481138220,1
1481138280,1
1481138340,1
1481138400,1
1481138460,1
1481138520,1
1481138580,1
1481138640,1
1481138700,1
1481138760,1
1481138820,1
1481138880,1
1481138940,1
1481139000,1
1481139060,1
1481139120,1
1481139180,1
1481139240,1
1481139300,1
1481139360,1
1481139420,1
1481139480,1
1481139540,1
1481139600,1
1481139660,1
1481139720,1
1481139780,1
1481139840,1
1481139900,1
1481139960,1
1481140020,1
1481140080,1
1481140140,1
1481140200,1
1481140260,1
1481140320,1
1481140380,1
1481140440,1
1481140500,1
1481140560,1
1481140620,1
1481140680,1
1481140740,1
1481140800,1
1481140860,1
1481140920,1
1481140980,1
1481141040,1
1481141100,1
1481141160,1
1481141220,1
1481141280,1
1481141340,1
1481141400,1
1481141460,1
1481141520,1
1481141580,1
1481141640,1
1481141700,1
1481141760,1
1481141820,1
1481141880,1
1481141940,1
1481142000,1
1481142060,1
1481142120,1
1481142180,1
