time,sleep
1489249950,1
1489250010,1
1489250070,1
1489250130,1
1489250190,1
1489250250,1
1489250310,1
1489250370,1
1489250430,1
1489250490,1
1489250550,1
1489250610,1
1489250670,1
1489250730,1
1489250790,1
1489250850,1
1489250910,1
1489250970,1
1489251030,1
1489251090,1
1489251150,1
1489251210,1
1489251270,1
1489251330,1
1489251390,1
1489251450,1
1489251510,1
1489251570,1
1489251630,1
1489251690,1
1489251750,1
1489251810,1
1489251870,1
1489251930,1
1489251990,1
1489252050,1
1489252110,1
1489252170,1
1489252230,1
1489252290,1
1489252350,1
1489252410,1
1489252470,1
1489252530,1
1489252590,1
1489252650,1
1489252710,1
1489252770,1
1489252830,1
1489252890,1
1489252950,1
1489253010,1
1489253070,1
1489253130,1
1489253190,1
1489253250,1
1489253310,1
1489253370,1
1489253430,1
1489253490,1
1489253550,1
1489253610,1
1489253670,1
1489253730,1
1489253790,1
1489253850,1
1489253910,1
1489253970,1
1489254030,1
1489254090,1
1489254150,1
1489254210,1
1489254270,1
1489254330,1
1489254390,1
1489254450,1
1489254510,1
1489254570,1
1489254630,1
1489254690,1
1489254750,1
1489254810,1
1489254870,1
1489254930,1
1489254990,1
1489255050,1
1489255110,1
1489255170,1
1489255230,1
1489255290,1
1489255350,1
1489255410,1
1489255470,1
1489255530,1
1489255590,1
1489255650,1
1489255710,1
1489255770,1
1489255830,1
1489255890,1
1489255950,1
1489256010,1
1489256070,1
1489256130,1
1489256190,1
1489256250,1
1489256310,1
1489256370,1
1489256430,1
1489256490,1
1489256550,1
1489256610,1
1489256670,1
1489256730,1
1489256790,1
1489256850,1
1489256910,1
1489256970,1
1489257030,1
1489257090,1
1489257150,1
1489257210,1
1489257270,1
1489257330,1
1489257390,1
1489257450,1
1489257510,1
1489257570,1
1489257630,1
1489257690,1
1489257750,1
1489257810,1
1489257870,1
1489257930,1
1489257990,1
1489258050,1
1489258110,1
1489258170,1
1489258230,1
1489258290,1
1489258350,1
1489258410,1
1489258470,1
1489258530,1
1489258590,1
1489258650,1
1489258710,1
1489258770,1
1489258830,1
1489258890,1
1489258950,1
1489259010,1
1489259070,1
1489259130,1
1489259190,1
1489259250,1
1489259310,1
1489259370,1
1489259430,1
1489259490,1
1489259550,1
1489259610,1
1489259670,1
1489259730,1
1489259790,1
1489259850,1
1489259910,1
1489259970,1
1489260030,1
1489260090,1
1489260150,1
1489260210,1
1489260270,1
1489260330,1
1489260390,1
1489260450,1
1489260510,1
1489260570,1
1489260630,1
1489260690,1
1489260750,1
1489260810,1
1489260870,1
1489260930,1
1489260990,1
1489261050,1
1489261110,1
1489261170,1
1489261230,1
1489261290,1
1489261350,1
1489261410,1
1489261470,1
1489261530,1
1489261590,1
1489261650,1
1489261710,1
1489261770,1
1489261830,1
1489261890,1
1489261950,1
1489262010,1
1489262070,1
1489262130,1
1489262190,1
1489262250,1
1489262310,1
1489262370,1
1489262430,1
1489262490,2
1489262550,1
1489262610,1
1489262670,1
1489262730,1
1489262790,1
1489262850,1
1489262910,1
1489262970,1
1489263030,1
1489263090,1
1489263150,1
1489263210,1
1489263270,1
1489263330,1
1489263390,1
1489263450,1
1489263510,1
1489263570,1
1489263630,1
1489263690,1
1489263750,1
1489263810,1
1489263870,1
1489263930,1
1489263990,1
1489264050,1
1489264110,1
1489264170,1
1489264230,1
1489264290,1
1489264350,1
1489264410,1
1489264470,1
1489264530,1
1489264590,1
1489264650,1
1489264710,1
1489264770,1
1489264830,1
1489264890,1
1489264950,1
1489265010,1
1489265070,1
1489265130,1
1489265190,1
1489265250,1
1489265310,1
1489265370,1
1489265430,1
1489265490,1
1489265550,1
1489265610,1
1489265670,1
1489265730,1
1489265790,1
1489265850,1
1489265910,1
1489265970,1
1489266030,1
1489266090,1
1489266150,1
1489266210,1
1489266270,1
1489266330,1
1489266390,1
1489266450,1
1489266510,1
1489266570,1
1489266630,1
1489266690,1
1489266750,1
1489266810,1
1489266870,1
1489266930,1
1489266990,1
1489267050,1
1489267110,1
1489267170,1
1489267230,1
1489267290,1
1489267350,1
1489267410,1
1489267470,1
1489267530,1
1489267590,1
1489267650,1
1489267710,1
1489267770,1
1489267830,1
1489267890,1
1489267950,1
1489268010,1
1489268070,1
1489268130,1
1489268190,1
1489268250,1
1489268310,1
1489268370,1
1489268430,1
1489268490,1
1489268550,1
1489268610,1
1489268670,1
1489268730,1
1489268790,1
1489268850,1
1489268910,1
1489268970,1
1489269030,1
1489269090,1
1489269150,1
1489269210,1
1489269270,1
1489269330,1
1489269390,1
1489269450,1
1489269510,1
1489269570,1
1489269630,1
1489269690,1
1489269750,1
1489269810,1
1489269870,1
1489269930,1
1489269990,1
1489270050,1
1489270110,1
1489270170,1
1489270230,1
1489270290,1
1489270350,1
1489270410,1
1489270470,1
1489270530,1
1489270590,1
1489270650,1
1489270710,1
1489270770,1
1489270830,1
1489270890,1
1489270950,1
1489271010,1
1489271070,1
1489271130,1
1489271190,1
1489271250,1
1489271310,1
1489271370,1
1489271430,1
1489271490,1
1489271550,1
1489271610,1
1489271670,1
1489271730,1
1489271790,1
1489271850,1
1489271910,1
1489271970,1
1489272030,1
1489272090,1
1489272150,1
1489272210,1
1489272270,1
1489272330,1
1489272390,1
1489272450,1
1489272510,1
1489272570,1
1489272630,1
1489272690,1
1489272750,1
1489272810,2
1489272870,1
1489272930,1
1489272990,1
1489273050,1
1489273110,1
1489273170,1
1489273230,1
1489273290,1
1489273350,1
1489273410,1
1489273470,1
1489273530,1
1489273590,1
1489273650,1
1489273710,1
1489273770,1
1489273830,1
1489273890,1
1489273950,1
1489274010,1
1489274070,1
1489274130,1
1489274190,1
1489274250,1
1489274310,1
1489274370,1
1489274430,1
1489274490,1
1489274550,1
1489274610,2
1489274670,1
1489274730,1
1489274790,1
1489274850,1
1489274910,1
1489274970,1
1489275030,1
1489275090,1
1489275150,1
1489275210,1
1489275270,1
1489275330,1
1489275390,1
1489275450,1
1489275510,1
1489275570,1
1489275630,2
1489275690,1
1489275750,1
1489275810,2
1489275870,1
1489275930,1
1489275990,1
1489276050,1
1489276110,1
1489276170,1
