,calorieslevel,caloriesmets,time,calories,steps,heartrate
0,0,13,120,1.503059983253479,0,70
1,0,13,240,1.503059983253479,0,72
2,0,11,300,1.2718199491500854,0,69
3,0,11,360,1.2718199491500854,0,66
4,1,24,540,2.7748799324035645,4,67
5,0,11,660,1.2718199491500854,0,69
6,0,11,780,1.2718199491500854,0,63
7,0,11,840,1.2718199491500854,0,63
8,0,11,900,1.2718199491500854,0,58
9,0,11,1020,1.2718199491500854,0,67
10,0,11,1080,1.2718199491500854,0,67
11,0,11,1140,1.2718199491500854,0,61
12,0,11,1320,1.2718199491500854,0,58
13,0,10,1440,1.1562000513076782,0,59
14,1,26,1500,3.006119966506958,16,58
15,1,30,1560,3.468600034713745,23,61
16,0,10,1620,1.1562000513076782,0,67
17,1,24,1740,2.7748799324035645,10,59
18,0,10,2040,1.1562000513076782,0,66
19,0,10,2100,1.1562000513076782,0,61
20,0,11,2160,1.2718199491500854,0,57
21,0,10,2400,1.1562000513076782,0,56
22,0,11,2580,1.2718199491500854,0,57
23,0,10,2640,1.1562000513076782,0,57
24,0,10,2760,1.1562000513076782,0,54
25,0,11,2820,1.2718199491500854,0,56
26,0,11,2940,1.2718199491500854,0,60
27,0,10,3120,1.1562000513076782,0,55
28,1,24,3180,2.7748799324035645,12,56
29,0,11,3240,1.2718199491500854,0,56
30,0,11,3300,1.2718199491500854,0,61
31,0,10,3360,1.1562000513076782,0,57
32,0,10,3420,1.1562000513076782,0,55
33,0,10,3480,1.1562000513076782,0,55
34,0,10,3540,1.1562000513076782,0,55
35,0,10,3600,1.1562000513076782,0,53
36,0,10,3660,1.1562000513076782,0,55
37,0,11,3720,1.2718199491500854,0,55
38,0,10,3780,1.1562000513076782,0,54
39,0,10,3840,1.1562000513076782,0,48
40,0,10,3960,1.1562000513076782,0,53
41,0,10,4020,1.1562000513076782,0,55
42,0,10,4080,1.1562000513076782,0,55
43,0,10,4320,1.1562000513076782,0,50
44,0,10,4380,1.1562000513076782,0,50
45,0,10,4440,1.1562000513076782,0,51
46,0,10,4560,1.1562000513076782,0,52
47,0,10,4620,1.1562000513076782,0,50
48,0,10,4680,1.1562000513076782,0,50
49,0,10,4800,1.1562000513076782,0,50
50,0,10,5160,1.1562000513076782,0,50
51,0,10,5280,1.1562000513076782,0,50
52,0,10,5340,1.1562000513076782,0,52
53,0,10,5400,1.1562000513076782,0,51
54,0,10,5520,1.1562000513076782,0,51
55,0,10,5580,1.1562000513076782,0,53
56,0,11,5640,1.2718199491500854,0,51
57,0,10,5700,1.1562000513076782,0,52
58,0,11,5880,1.2718199491500854,0,48
59,0,10,5940,1.1562000513076782,0,51
60,0,10,6120,1.1562000513076782,0,50
61,0,10,6360,1.1562000513076782,0,49
62,0,10,6420,1.1562000513076782,0,49
63,0,10,6540,1.1562000513076782,0,49
64,0,10,6600,1.1562000513076782,0,49
65,0,10,6900,1.1562000513076782,0,49
66,0,10,6960,1.1562000513076782,0,49
67,0,10,7140,1.1562000513076782,0,50
68,0,10,7200,1.1562000513076782,0,50
69,0,10,7320,1.1562000513076782,0,51
70,0,10,7440,1.1562000513076782,0,51
71,0,10,7680,1.1562000513076782,0,52
72,0,10,7740,1.1562000513076782,0,51
73,0,10,7920,1.1562000513076782,0,52
74,0,10,8100,1.1562000513076782,0,71
75,0,10,8340,1.1562000513076782,0,53
76,0,10,8520,1.1562000513076782,0,54
77,0,10,8640,1.1562000513076782,0,56
78,0,10,8700,1.1562000513076782,0,58
79,0,10,8820,1.1562000513076782,0,55
80,0,10,8940,1.1562000513076782,0,58
81,0,10,9000,1.1562000513076782,0,58
82,0,10,9060,1.1562000513076782,0,57
83,0,10,9120,1.1562000513076782,0,59
84,0,10,9180,1.1562000513076782,0,58
85,0,10,9420,1.1562000513076782,0,58
86,0,10,9480,1.1562000513076782,0,55
87,0,10,9780,1.1562000513076782,0,56
88,0,10,9840,1.1562000513076782,0,56
89,0,10,9900,1.1562000513076782,0,56
90,0,11,9960,1.2718199491500854,0,55
91,0,10,10020,1.1562000513076782,0,56
92,0,10,10080,1.1562000513076782,0,54
93,0,10,10140,1.1562000513076782,0,56
94,0,10,10260,1.1562000513076782,0,55
95,0,10,10320,1.1562000513076782,0,56
96,0,10,10500,1.1562000513076782,0,55
97,0,10,10620,1.1562000513076782,0,55
98,0,10,10740,1.1562000513076782,0,55
99,0,10,10860,1.1562000513076782,0,58
100,0,10,10980,1.1562000513076782,0,55
101,0,10,11280,1.1562000513076782,0,55
102,0,10,11340,1.1562000513076782,0,55
103,0,10,11460,1.1562000513076782,0,53
104,0,10,11640,1.1562000513076782,0,54
105,0,10,11820,1.1562000513076782,0,55
106,0,10,12000,1.1562000513076782,0,57
107,0,11,12060,1.2718199491500854,0,55
108,0,10,12600,1.1562000513076782,0,49
109,0,10,12720,1.1562000513076782,0,49
110,1,24,13260,2.7748799324035645,7,50
111,0,10,13440,1.1562000513076782,0,58
112,0,10,13500,1.1562000513076782,0,54
113,0,10,13560,1.1562000513076782,0,52
114,0,10,13620,1.1562000513076782,0,52
115,0,10,13680,1.1562000513076782,0,53
116,0,10,13800,1.1562000513076782,0,53
117,0,10,13860,1.1562000513076782,0,55
118,0,10,13920,1.1562000513076782,0,53
119,0,10,13980,1.1562000513076782,0,54
120,0,10,14160,1.1562000513076782,0,57
121,0,10,14220,1.1562000513076782,0,62
122,0,10,14280,1.1562000513076782,0,62
123,0,10,14340,1.1562000513076782,0,60
124,0,10,14400,1.1562000513076782,0,54
125,0,10,14460,1.1562000513076782,0,60
