calorieslevel,caloriesmets,time,calories
0,10,1480348800,1.1699999570846558
0,10,1480348860,1.1699999570846558
0,10,1480348920,1.1699999570846558
0,10,1480348980,1.1699999570846558
0,10,1480349040,1.1699999570846558
0,10,1480349100,1.1699999570846558
0,10,1480349160,1.1699999570846558
0,10,1480349220,1.1699999570846558
0,10,1480349280,1.1699999570846558
0,10,1480349340,1.1699999570846558
0,10,1480349400,1.1699999570846558
0,10,1480349460,1.1699999570846558
0,10,1480349520,1.1699999570846558
0,10,1480349580,1.1699999570846558
0,10,1480349640,1.1699999570846558
0,10,1480349700,1.1699999570846558
0,10,1480349760,1.1699999570846558
0,10,1480349820,1.1699999570846558
0,10,1480349880,1.1699999570846558
0,10,1480349940,1.1699999570846558
0,10,1480350000,1.1699999570846558
0,10,1480350060,1.1699999570846558
0,10,1480350120,1.1699999570846558
0,10,1480350180,1.1699999570846558
0,10,1480350240,1.1699999570846558
0,10,1480350300,1.1699999570846558
0,10,1480350360,1.1699999570846558
0,10,1480350420,1.1699999570846558
0,10,1480350480,1.1699999570846558
0,10,1480350540,1.1699999570846558
0,10,1480350600,1.1699999570846558
0,10,1480350660,1.1699999570846558
0,10,1480350720,1.1699999570846558
0,10,1480350780,1.1699999570846558
0,10,1480350840,1.1699999570846558
0,10,1480350900,1.1699999570846558
0,10,1480350960,1.1699999570846558
0,10,1480351020,1.1699999570846558
0,10,1480351080,1.1699999570846558
0,10,1480351140,1.1699999570846558
0,10,1480351200,1.1699999570846558
0,10,1480351260,1.1699999570846558
0,10,1480351320,1.1699999570846558
0,10,1480351380,1.1699999570846558
0,10,1480351440,1.1699999570846558
0,10,1480351500,1.1699999570846558
0,10,1480351560,1.1699999570846558
0,10,1480351620,1.1699999570846558
0,10,1480351680,1.1699999570846558
0,10,1480351740,1.1699999570846558
0,10,1480351800,1.1699999570846558
0,10,1480351860,1.1699999570846558
0,10,1480351920,1.1699999570846558
0,10,1480351980,1.1699999570846558
0,10,1480352040,1.1699999570846558
0,10,1480352100,1.1699999570846558
0,10,1480352160,1.1699999570846558
0,10,1480352220,1.1699999570846558
0,10,1480352280,1.1699999570846558
0,10,1480352340,1.1699999570846558
0,10,1480352400,1.1699999570846558
0,10,1480352460,1.1699999570846558
0,10,1480352520,1.1699999570846558
0,10,1480352580,1.1699999570846558
0,10,1480352640,1.1699999570846558
0,10,1480352700,1.1699999570846558
0,10,1480352760,1.1699999570846558
0,10,1480352820,1.1699999570846558
0,10,1480352880,1.1699999570846558
0,10,1480352940,1.1699999570846558
