time,elevation
1494086400,0.0
1494086460,0.0
1494086520,0.0
1494086580,0.0
1494086640,0.0
1494086700,0.0
1494086760,0.0
1494086820,0.0
1494086880,0.0
1494086940,0.0
1494087000,0.0
1494087060,0.0
1494087120,0.0
1494087180,0.0
1494087240,0.0
1494087300,0.0
1494087360,0.0
1494087420,0.0
1494087480,0.0
1494087540,0.0
1494087600,0.0
1494087660,0.0
1494087720,0.0
1494087780,0.0
1494087840,0.0
1494087900,0.0
1494087960,0.0
1494088020,0.0
1494088080,0.0
1494088140,0.0
1494088200,0.0
1494088260,0.0
1494088320,0.0
1494088380,0.0
1494088440,0.0
1494088500,0.0
1494088560,0.0
1494088620,0.0
1494088680,0.0
1494088740,0.0
1494088800,0.0
1494088860,0.0
1494088920,0.0
1494088980,0.0
1494089040,0.0
1494089100,0.0
1494089160,0.0
1494089220,0.0
1494089280,0.0
1494089340,0.0
1494089400,0.0
1494089460,0.0
1494089520,0.0
1494089580,0.0
1494089640,0.0
1494089700,0.0
1494089760,0.0
1494089820,0.0
1494089880,0.0
1494089940,0.0
1494090000,0.0
1494090060,0.0
1494090120,0.0
1494090180,0.0
1494090240,0.0
1494090300,0.0
1494090360,0.0
1494090420,0.0
1494090480,0.0
1494090540,0.0
1494090600,0.0
1494090660,0.0
1494090720,0.0
1494090780,0.0
1494090840,0.0
1494090900,0.0
1494090960,0.0
1494091020,0.0
1494091080,0.0
1494091140,0.0
1494091200,0.0
1494091260,0.0
1494091320,0.0
1494091380,0.0
1494091440,0.0
1494091500,0.0
1494091560,0.0
1494091620,0.0
1494091680,0.0
1494091740,0.0
1494091800,0.0
1494091860,0.0
1494091920,0.0
1494091980,0.0
1494092040,0.0
1494092100,0.0
1494092160,0.0
1494092220,0.0
1494092280,0.0
1494092340,0.0
1494092400,0.0
1494092460,0.0
1494092520,0.0
1494092580,0.0
1494092640,0.0
1494092700,0.0
1494092760,0.0
1494092820,0.0
1494092880,0.0
1494092940,0.0
1494093000,0.0
1494093060,0.0
1494093120,0.0
1494093180,0.0
1494093240,0.0
1494093300,0.0
1494093360,0.0
1494093420,0.0
1494093480,0.0
1494093540,0.0
1494093600,0.0
1494093660,0.0
1494093720,0.0
1494093780,0.0
1494093840,0.0
1494093900,0.0
1494093960,0.0
1494094020,0.0
1494094080,0.0
1494094140,0.0
1494094200,0.0
1494094260,0.0
1494094320,0.0
1494094380,0.0
1494094440,0.0
1494094500,0.0
1494094560,0.0
1494094620,0.0
1494094680,0.0
1494094740,0.0
1494094800,0.0
1494094860,0.0
1494094920,0.0
1494094980,0.0
1494095040,0.0
1494095100,0.0
1494095160,0.0
1494095220,0.0
1494095280,0.0
1494095340,0.0
1494095400,0.0
1494095460,0.0
1494095520,0.0
1494095580,0.0
1494095640,0.0
1494095700,0.0
1494095760,0.0
1494095820,0.0
1494095880,0.0
1494095940,0.0
1494096000,0.0
1494096060,0.0
1494096120,0.0
1494096180,0.0
1494096240,0.0
1494096300,0.0
1494096360,0.0
1494096420,0.0
1494096480,0.0
1494096540,0.0
1494096600,0.0
1494096660,0.0
1494096720,0.0
1494096780,0.0
1494096840,0.0
1494096900,0.0
1494096960,0.0
1494097020,0.0
1494097080,0.0
1494097140,0.0
1494097200,0.0
1494097260,0.0
1494097320,0.0
1494097380,0.0
1494097440,0.0
1494097500,0.0
1494097560,0.0
1494097620,0.0
1494097680,0.0
1494097740,0.0
1494097800,0.0
1494097860,0.0
1494097920,0.0
1494097980,0.0
1494098040,0.0
1494098100,0.0
1494098160,0.0
1494098220,0.0
1494098280,0.0
1494098340,0.0
1494098400,0.0
1494098460,0.0
1494098520,0.0
1494098580,0.0
1494098640,0.0
1494098700,0.0
1494098760,0.0
1494098820,0.0
1494098880,0.0
1494098940,0.0
1494099000,0.0
1494099060,0.0
1494099120,0.0
1494099180,0.0
1494099240,0.0
1494099300,0.0
1494099360,0.0
1494099420,0.0
1494099480,0.0
1494099540,0.0
1494099600,0.0
1494099660,0.0
1494099720,0.0
1494099780,0.0
1494099840,0.0
1494099900,0.0
1494099960,0.0
1494100020,0.0
1494100080,0.0
1494100140,0.0
1494100200,0.0
1494100260,0.0
1494100320,0.0
1494100380,0.0
1494100440,0.0
1494100500,0.0
1494100560,0.0
1494100620,0.0
1494100680,0.0
1494100740,0.0
1494100800,0.0
1494100860,0.0
1494100920,0.0
1494100980,0.0
1494101040,0.0
1494101100,0.0
1494101160,0.0
1494101220,0.0
1494101280,0.0
1494101340,0.0
1494101400,0.0
1494101460,0.0
1494101520,0.0
1494101580,0.0
1494101640,0.0
1494101700,0.0
1494101760,0.0
1494101820,0.0
1494101880,0.0
1494101940,0.0
1494102000,0.0
1494102060,0.0
1494102120,0.0
1494102180,0.0
1494102240,0.0
1494102300,0.0
1494102360,0.0
1494102420,0.0
1494102480,0.0
1494102540,0.0
1494102600,0.0
1494102660,0.0
1494102720,0.0
1494102780,0.0
1494102840,0.0
1494102900,0.0
1494102960,0.0
1494103020,0.0
1494103080,0.0
1494103140,0.0
1494103200,0.0
1494103260,0.0
1494103320,0.0
1494103380,0.0
1494103440,0.0
1494103500,0.0
1494103560,0.0
