time,elevation
1489507200,0.0
1489507260,0.0
1489507320,0.0
1489507380,0.0
1489507440,0.0
1489507500,0.0
1489507560,0.0
1489507620,0.0
1489507680,0.0
1489507740,0.0
1489507800,0.0
1489507860,0.0
1489507920,0.0
1489507980,0.0
1489508040,0.0
1489508100,0.0
1489508160,0.0
1489508220,0.0
1489508280,0.0
1489508340,0.0
1489508400,0.0
1489508460,0.0
1489508520,0.0
1489508580,0.0
1489508640,0.0
1489508700,0.0
1489508760,0.0
1489508820,0.0
1489508880,0.0
1489508940,0.0
1489509000,0.0
1489509060,0.0
1489509120,0.0
1489509180,0.0
1489509240,0.0
1489509300,0.0
1489509360,0.0
1489509420,0.0
1489509480,0.0
1489509540,0.0
1489509600,0.0
1489509660,0.0
1489509720,0.0
1489509780,0.0
1489509840,0.0
1489509900,0.0
1489509960,0.0
1489510020,0.0
1489510080,0.0
1489510140,0.0
1489510200,0.0
1489510260,0.0
1489510320,0.0
1489510380,0.0
1489510440,0.0
1489510500,0.0
1489510560,0.0
1489510620,0.0
1489510680,0.0
1489510740,0.0
1489510800,0.0
1489510860,0.0
1489510920,0.0
1489510980,0.0
1489511040,0.0
1489511100,0.0
1489511160,0.0
1489511220,0.0
1489511280,0.0
1489511340,0.0
1489511400,0.0
1489511460,0.0
1489511520,0.0
1489511580,0.0
1489511640,0.0
1489511700,0.0
1489511760,0.0
1489511820,0.0
1489511880,0.0
1489511940,0.0
1489512000,0.0
1489512060,0.0
1489512120,0.0
1489512180,0.0
1489512240,0.0
1489512300,0.0
1489512360,0.0
1489512420,0.0
1489512480,0.0
1489512540,0.0
1489512600,0.0
1489512660,0.0
1489512720,0.0
1489512780,0.0
1489512840,0.0
1489512900,0.0
1489512960,0.0
1489513020,0.0
1489513080,0.0
1489513140,0.0
1489513200,0.0
1489513260,0.0
1489513320,0.0
1489513380,0.0
1489513440,0.0
1489513500,0.0
1489513560,0.0
1489513620,0.0
1489513680,0.0
1489513740,0.0
1489513800,0.0
1489513860,0.0
1489513920,0.0
1489513980,0.0
1489514040,0.0
1489514100,0.0
1489514160,0.0
1489514220,0.0
1489514280,0.0
1489514340,0.0
1489514400,0.0
1489514460,0.0
1489514520,0.0
1489514580,0.0
1489514640,0.0
1489514700,0.0
1489514760,0.0
1489514820,0.0
1489514880,0.0
1489514940,0.0
1489515000,0.0
1489515060,0.0
1489515120,0.0
1489515180,0.0
1489515240,0.0
1489515300,0.0
1489515360,0.0
1489515420,0.0
1489515480,0.0
1489515540,0.0
1489515600,0.0
1489515660,0.0
1489515720,0.0
1489515780,0.0
1489515840,0.0
1489515900,0.0
1489515960,0.0
1489516020,0.0
1489516080,0.0
1489516140,0.0
1489516200,0.0
1489516260,0.0
1489516320,0.0
1489516380,0.0
1489516440,0.0
1489516500,0.0
1489516560,0.0
1489516620,0.0
1489516680,0.0
1489516740,0.0
1489516800,0.0
1489516860,0.0
1489516920,0.0
1489516980,0.0
1489517040,0.0
1489517100,0.0
1489517160,0.0
1489517220,0.0
1489517280,0.0
1489517340,0.0
1489517400,0.0
1489517460,0.0
1489517520,0.0
1489517580,0.0
1489517640,0.0
1489517700,0.0
1489517760,0.0
1489517820,0.0
1489517880,0.0
1489517940,0.0
1489518000,0.0
1489518060,0.0
1489518120,0.0
1489518180,0.0
1489518240,0.0
1489518300,0.0
1489518360,0.0
1489518420,0.0
1489518480,0.0
1489518540,0.0
1489518600,0.0
1489518660,0.0
1489518720,0.0
1489518780,0.0
1489518840,0.0
1489518900,0.0
1489518960,0.0
1489519020,0.0
1489519080,0.0
1489519140,0.0
1489519200,0.0
1489519260,0.0
1489519320,0.0
1489519380,0.0
1489519440,0.0
1489519500,0.0
