time,value
00:00:08,67
00:00:23,67
00:00:38,67
00:00:48,67
00:00:53,67
00:01:03,64
00:01:08,64
00:01:23,64
00:01:33,64
00:01:48,64
00:01:53,64
00:01:58,62
00:02:03,63
00:02:08,67
00:02:13,66
00:02:18,66
00:02:23,65
00:02:28,64
00:02:33,62
00:02:43,63
00:02:48,66
00:02:53,65
00:03:08,65
00:03:10,65
00:03:25,65
00:03:40,65
00:03:55,66
00:04:10,66
00:04:25,66
00:04:40,66
00:04:55,66
00:07:17,65
00:07:32,65
00:07:47,65
00:08:02,65
00:08:07,63
00:08:22,63
00:08:37,63
00:08:52,63
00:09:07,63
00:12:08,61
00:12:23,61
00:12:33,59
00:12:48,59
00:12:53,58
00:13:09,58
00:13:24,58
00:13:39,58
00:13:54,58
00:14:09,58
00:14:14,58
00:14:24,59
00:14:39,59
00:14:54,59
00:14:59,59
00:15:09,59
00:15:14,59
00:15:24,61
00:15:29,62
00:15:44,62
00:15:59,62
00:17:16,61
00:17:21,60
00:17:26,61
00:17:31,60
00:17:36,59
00:17:41,59
00:17:56,58
00:18:01,59
00:18:06,58
00:18:16,59
00:18:21,58
00:18:26,59
00:18:41,59
00:18:46,59
00:18:51,58
00:18:56,58
00:19:06,59
00:19:21,59
00:19:36,59
00:19:51,59
00:20:01,60
00:20:06,61
00:20:16,62
00:20:26,63
00:20:31,63
00:20:41,65
00:20:48,66
00:31:51,70
00:32:06,70
00:32:11,68
00:32:16,99
00:32:21,95
00:32:36,90
00:32:41,89
00:32:46,88
00:32:56,90
00:33:01,80
00:33:06,79
00:33:11,75
00:33:16,73
00:33:21,72
00:33:31,75
00:33:36,77
00:33:46,76
00:34:01,76
00:34:06,73
00:34:11,71
00:34:21,70
00:34:27,70
00:34:32,69
00:34:37,68
00:34:52,68
00:34:57,66
00:35:07,65
00:35:22,65
00:35:32,67
00:35:47,67
00:35:52,66
00:35:57,67
00:36:07,68
00:36:12,69
00:36:17,68
00:36:32,68
00:36:37,69
00:36:47,70
00:36:52,71
00:36:57,73
00:37:02,74
00:37:07,75
00:37:22,75
00:37:27,81
00:37:32,84
00:37:39,78
00:37:44,78
00:37:49,78
00:37:59,76
00:38:14,76
00:38:19,75
00:38:29,75
00:38:34,76
00:38:39,67
00:38:44,66
00:38:49,64
00:38:54,59
00:38:59,56
00:39:04,55
00:39:19,55
00:39:24,54
00:39:34,56
00:39:39,55
00:39:44,54
00:39:54,53
00:39:59,52
00:40:09,57
00:40:14,56
00:40:19,55
00:40:34,55
00:40:44,57
00:40:51,56
00:41:06,56
00:41:16,57
00:41:21,58
00:41:26,56
00:41:31,55
00:41:41,54
00:41:51,53
00:41:56,53
00:42:01,54
00:42:06,53
00:42:21,53
00:42:36,53
00:42:46,52
00:43:01,52
00:43:11,51
00:43:21,52
00:43:36,52
00:43:51,53
00:44:06,53
00:44:11,55
00:44:16,55
00:44:21,54
00:44:26,53
00:44:31,53
00:44:46,53
00:44:49,53
00:44:54,54
00:44:59,53
00:45:09,54
00:45:19,56
00:45:29,55
00:45:34,55
00:45:39,54
00:45:49,55
00:45:59,54
00:46:14,54
00:46:19,53
00:46:29,54
00:46:39,53
00:46:44,53
00:46:59,53
00:47:04,54
00:47:09,55
00:47:19,56
00:47:24,64
00:47:39,64
00:48:26,64
00:48:31,67
00:48:36,69
00:48:51,61
00:49:06,61
00:49:21,62
00:49:36,62
00:49:46,62
00:49:51,63
00:49:56,64
00:50:11,65
00:50:26,65
00:50:31,65
00:50:41,64
00:50:46,64
00:50:51,62
00:50:56,63
00:51:06,62
00:51:11,60
00:51:16,57
00:51:31,57
00:51:36,54
00:51:41,53
00:51:51,52
00:52:01,52
00:52:06,53
00:52:16,52
00:52:23,52
00:52:28,53
00:52:33,53
00:52:38,52
00:52:43,52
00:52:53,54
00:52:58,55
00:53:03,54
00:53:08,53
00:53:13,53
00:53:18,52
00:53:28,52
00:53:38,53
00:53:48,53
00:53:53,53
00:54:08,53
00:54:23,53
00:54:38,52
00:54:53,52
00:55:08,51
00:55:18,51
00:55:33,51
00:55:38,52
00:55:43,52
00:55:49,52
00:55:59,51
00:56:04,52
00:56:14,51
00:56:19,51
00:56:34,51
00:56:44,50
00:56:49,50
00:56:54,50
00:57:04,49
00:57:14,50
00:57:29,50
00:57:39,51
00:57:44,50
00:57:49,49
00:57:54,51
00:58:04,50
00:58:09,49
00:58:14,48
00:58:29,48
00:58:44,49
00:58:54,48
00:59:09,48
00:59:24,48
00:59:34,47
00:59:39,48
00:59:47,48
00:59:52,47
01:00:07,47
01:00:22,48
01:00:27,50
01:00:37,49
01:00:47,50
01:00:57,51
01:01:07,52
01:01:12,51
01:01:22,50
01:01:32,49
01:01:37,52
01:01:42,52
01:01:52,51
01:01:57,50
01:02:02,51
01:02:07,52
01:02:17,53
01:02:27,52
01:02:42,52
01:02:57,52
01:03:12,53
01:03:27,53
01:03:37,52
01:03:44,51
01:03:54,50
01:04:04,51
01:04:09,51
01:04:14,55
01:04:19,54
01:04:24,54
01:04:34,52
01:04:39,51
01:04:44,50
01:04:49,49
01:05:04,49
01:05:09,50
01:05:24,50
01:05:29,56
01:05:34,56
01:05:49,56
01:05:54,54
01:05:59,54
01:06:09,54
01:06:14,54
01:06:29,54
01:06:34,55
01:06:39,56
01:06:44,57
01:06:51,79
01:06:56,78
01:07:01,75
01:07:06,72
01:07:11,68
01:07:16,64
01:07:21,60
01:07:26,57
01:07:36,55
01:07:41,54
01:07:46,52
01:07:51,51
01:08:01,50
01:08:06,49
01:08:21,49
01:08:26,49
01:08:36,52
01:08:41,52
01:08:51,52
01:09:01,51
01:09:06,51
01:09:11,51
01:09:16,53
01:09:21,54
01:09:36,54
01:09:51,53
01:09:52,53
01:09:57,53
01:10:12,53
01:10:22,52
01:10:27,51
01:10:32,50
01:10:37,49
01:10:42,50
01:10:47,49
01:11:02,49
01:13:04,58
01:13:09,57
01:13:14,55
01:13:19,54
01:13:24,53
01:13:29,52
01:13:34,53
01:13:39,52
01:13:54,52
01:13:59,51
01:14:09,50
01:14:24,50
01:14:29,49
01:14:34,50
01:14:44,49
01:14:49,50
01:14:54,49
01:14:59,50
01:15:09,50
01:15:19,50
01:15:29,49
01:15:44,49
01:15:49,50
01:16:04,50
01:16:19,50
01:16:34,50
01:16:41,50
01:16:56,50
01:17:01,49
01:17:16,48
01:17:26,49
01:17:36,50
01:17:51,49
01:17:56,48
01:18:11,48
01:18:26,49
01:21:23,51
01:21:28,53
01:21:33,56
01:21:38,55
01:21:43,53
01:21:48,52
01:21:53,50
01:22:08,50
01:22:18,49
01:22:33,49
01:22:48,49
01:22:53,49
01:23:08,49
01:23:23,49
01:23:28,49
01:23:43,49
01:23:53,48
01:23:58,49
01:24:08,48
01:24:13,48
01:24:23,48
01:24:38,48
01:24:48,48
01:24:55,49
01:25:10,49
01:25:20,50
01:25:30,49
01:25:45,49
01:26:00,49
01:26:10,50
01:26:20,49
01:26:25,50
01:26:40,50
01:26:55,50
01:27:05,50
01:27:15,50
01:27:30,50
01:27:45,50
01:27:50,49
01:28:05,49
01:28:15,50
01:28:30,50
01:28:35,49
01:28:40,50
01:28:55,50
01:29:00,50
01:29:05,49
01:29:10,49
01:29:25,49
01:29:28,49
01:29:38,50
01:29:53,50
01:30:08,49
01:30:13,49
01:30:18,49
01:30:23,49
01:30:38,51
01:30:43,52
01:30:48,51
01:31:03,51
01:31:08,66
01:31:13,64
01:31:18,62
01:31:23,59
01:31:28,56
01:31:33,54
01:31:38,51
01:31:43,49
01:31:48,48
01:31:58,47
01:32:13,47
01:32:23,46
01:32:28,47
01:32:43,47
01:32:44,47
01:32:59,47
01:33:14,47
01:33:29,47
01:33:39,48
01:33:54,48
01:34:09,48
01:34:24,48
01:34:29,47
01:34:44,47
01:34:54,47
01:35:04,48
01:35:19,48
01:35:34,48
01:35:49,48
01:36:04,48
01:36:19,49
01:36:34,49
01:36:44,48
01:36:59,48
01:37:14,48
01:37:29,48
01:37:44,48
01:37:49,49
01:37:54,48
01:38:02,48
01:38:17,48
01:38:32,48
01:38:42,48
01:38:57,48
01:39:12,48
01:39:27,48
01:39:42,48
01:39:57,48
01:40:12,49
01:40:22,48
01:40:37,48
01:40:52,49
01:41:07,49
01:41:22,48
01:41:37,48
01:41:47,49
01:42:02,49
01:42:07,49
01:42:22,49
01:42:37,49
01:42:45,48
01:42:55,47
01:43:00,48
01:43:15,48
01:43:30,48
01:43:35,49
01:43:50,49
01:44:05,49
01:44:20,48
01:44:35,48
01:44:50,48
01:45:05,49
01:45:20,49
01:45:25,48
01:45:40,48
01:45:55,48
01:46:10,49
01:46:20,48
01:46:35,48
01:46:40,49
01:46:55,49
01:47:00,48
01:47:05,49
01:47:10,48
01:47:17,48
01:47:32,49
01:47:47,49
01:48:02,49
01:48:17,49
01:48:32,49
01:48:42,48
01:48:47,49
01:49:02,49
01:49:17,49
01:49:32,49
01:49:47,49
01:50:02,49
01:50:17,49
01:50:27,48
01:50:37,49
01:50:52,49
01:51:02,50
01:51:17,50
01:51:32,50
01:51:42,49
01:51:57,49
01:52:12,49
01:52:27,49
01:52:42,49
01:52:57,49
01:53:02,50
01:53:11,49
01:53:26,49
01:53:41,49
01:53:46,50
01:53:56,49
01:54:11,49
01:54:26,49
01:54:31,50
01:54:46,50
01:55:01,50
01:55:16,50
01:55:31,50
01:55:46,50
01:56:01,50
01:56:16,50
01:56:31,50
01:56:41,51
01:56:51,50
01:57:06,50
01:57:21,50
01:57:36,50
01:57:51,50
01:58:06,50
01:58:11,50
01:58:26,50
01:58:41,50
01:58:44,50
01:58:59,49
01:59:09,50
01:59:24,50
01:59:39,50
01:59:54,50
02:00:09,50
02:00:24,50
02:00:39,50
02:00:54,50
02:01:09,50
02:01:24,50
02:01:39,50
02:01:44,51
02:01:49,49
02:02:04,49
02:02:19,49
02:02:24,50
02:02:39,50
02:02:54,50
02:02:59,50
02:03:04,51
02:03:19,51
02:03:24,50
02:03:39,50
02:03:49,51
02:03:56,51
02:04:11,51
02:04:21,50
02:04:36,50
02:04:51,50
02:05:06,50
02:05:21,50
02:05:36,50
02:05:46,51
02:05:51,50
02:06:06,50
02:06:11,52
02:06:16,51
02:06:31,51
02:06:46,50
02:07:01,50
02:07:16,50
02:07:21,49
