time,value
00:04:50,70
00:44:43,70
00:45:22,70
00:47:21,70
00:48:05,70
00:55:17,70
01:21:03,70
08:20:00,70
08:20:05,70
08:20:10,70
08:20:15,70
08:29:00,70
08:29:05,70
08:29:10,70
08:29:15,70
09:21:12,70
09:22:52,70
09:28:19,70
09:35:37,70
09:38:33,70
09:52:06,70
09:54:44,70
10:08:48,70
10:30:11,70
10:45:57,70
10:48:34,70
10:48:39,70
10:48:44,70
10:48:49,64
10:49:05,71
10:49:10,75
10:49:15,80
10:49:25,71
10:51:03,70
10:51:35,70
10:51:45,63
10:51:50,74
10:51:55,78
10:52:01,81
10:52:06,80
10:52:11,76
10:55:52,70
10:56:07,70
16:10:35,70
16:11:10,70
16:13:05,70
16:13:10,70
16:15:14,70
16:16:17,70
16:21:17,70
16:21:22,70
16:21:42,70
16:52:28,70
17:04:43,70
17:10:49,70
17:12:46,70
17:50:53,70
17:56:05,70
17:56:19,70
17:56:35,70
17:56:40,70
17:57:03,70
17:57:19,70
17:57:29,70
18:12:25,70
18:13:13,70
18:41:54,70
18:44:22,70
20:13:28,70
20:13:36,70
20:13:43,70
20:14:07,70
20:18:28,70
20:43:10,70
22:23:21,70
22:35:35,70
23:16:23,70
23:43:21,70
